X,Y,mag,ELEV
-1678000,1723500,88.3361053466797,508.054443359375
-1679000,1724000,60.3579139709473,505.217681884766
-1678500,1724000,69.3464584350586,506.899505615234
-1678000,1724000,79.023307800293,507.335601806641
-1677500,1724000,72.6230850219727,507.27294921875
-1677000,1724000,46.0396156311035,507.066467285156
-1676500,1724000,10.9649295806885,506.891204833984
-1676000,1724000,-17.455415725708,507.022399902344
-1675500,1724000,-33.6389694213867,507.443634033203
-1675000,1724000,-35.6347122192383,508.004486083984
-1674000,1724000,-1.26938414573669,508.536224365234
-1673000,1724000,49.7612724304199,507.880920410156
-1670500,1724000,4.33780336380005,501.129089355469
-1669500,1724000,-9.94923782348633,498.513000488281
-1681000,1724500,-19.8394546508789,497.607757568359
-1680500,1724500,3.47186350822449,495.106658935547
-1680000,1724500,28.1335124969482,498.504638671875
-1679500,1724500,42.8065032958984,501.757537841797
-1679000,1724500,48.5285682678223,503.919921875
-1678500,1724500,55.7259979248047,506.023620605469
-1678000,1724500,68.384880065918,507.04541015625
-1677500,1724500,67.3819122314453,506.393280029297
-1677000,1724500,41.532154083252,505.920654296875
-1676500,1724500,1.0227198600769,505.436737060547
-1676000,1724500,-31.0896854400635,505.905456542969
-1675500,1724500,-49.1941375732422,506.795349121094
-1675000,1724500,-47.1979103088379,507.634735107422
-1674500,1724500,-25.0610542297363,508.270050048828
-1674000,1724500,2.14370465278625,508.342315673828
-1673500,1724500,31.2421340942383,508.199188232422
-1673000,1724500,62.8866119384766,507.826843261719
-1672500,1724500,90.5988998413086,507.159942626953
-1671500,1724500,80.991455078125,504.267395019531
-1671000,1724500,38.2934494018555,502.328002929688
-1670500,1724500,-13.4673538208008,500.711273193359
-1670000,1724500,-6.74619913101196,499.2529296875
-1669500,1724500,-13.2263851165771,497.960205078125
-1669000,1724500,-22.7577247619629,497.365539550781
-1668500,1724500,-32.339916229248,497.180114746094
-1668000,1724500,-32.966926574707,497.401550292969
-1667000,1724500,-31.9167499542236,497.60693359375
-1682500,1725000,10.0441846847534,475.190185546875
-1682000,1725000,-5.22168684005737,495.69287109375
-1681500,1725000,-17.2410182952881,497.310485839844
-1681000,1725000,-11.9605379104614,497.253662109375
-1680500,1725000,6.45367574691772,497.157745361328
-1680000,1725000,28.7926292419434,498.905578613281
-1679500,1725000,44.7822914123535,501.08349609375
-1679000,1725000,48.2360191345215,503.206878662109
-1678500,1725000,49.2933692932129,505.184448242188
-1678000,1725000,57.4596405029297,506.457000732422
-1677500,1725000,54.3485641479492,505.384643554688
-1677000,1725000,25.6399326324463,505.245544433594
-1676500,1725000,-10.9611387252808,504.056427001953
-1676000,1725000,-35.4738426208496,504.76904296875
-1675500,1725000,-55.0140533447266,506.174224853516
-1675000,1725000,-67.0090637207031,506.659057617188
-1674500,1725000,-52.3425636291504,507.198272705078
-1674000,1725000,7.64238882064819,507.431884765625
-1673500,1725000,68.1574859619141,507.555206298828
-1673000,1725000,109.078681945801,507.511352539063
-1672500,1725000,146.520385742188,507.188751220703
-1672000,1725000,154.229080200195,506.117126464844
-1671500,1725000,117.9755859375,503.971954345703
-1671000,1725000,61.3549995422363,501.746398925781
-1670500,1725000,-18.2174167633057,500.183013916016
-1670000,1725000,-27.8483219146729,499.006530761719
-1669500,1725000,-13.927903175354,497.719451904297
-1669000,1725000,-27.8616161346436,497.096435546875
-1668500,1725000,-37.3740005493164,497.762634277344
-1668000,1725000,-40.8771362304688,498.292297363281
-1667500,1725000,-41.3142395019531,498.358581542969
-1667000,1725000,-37.640209197998,498.201263427734
-1666500,1725000,-38.8387908935547,498.439239501953
-1683500,1725500,20.8102054595947,486.907348632813
-1683000,1725500,23.6911087036133,488.96484375
-1682500,1725500,22.9206485748291,495.054046630859
-1682000,1725500,12.3827276229858,497.030059814453
-1681500,1725500,0.776338160037994,497.707763671875
-1681000,1725500,-1.34912383556366,496.797302246094
-1680500,1725500,9.98259162902832,496.580993652344
-1680000,1725500,34.3075103759766,498.037200927734
-1679500,1725500,54.4892501831055,500.672760009766
-1679000,1725500,63.1458511352539,503.211883544922
-1678500,1725500,58.5328140258789,505.100646972656
-1678000,1725500,49.6069526672363,505.956665039063
-1677500,1725500,30.5530128479004,505.450927734375
-1677000,1725500,9.97885513305664,504.425384521484
-1676500,1725500,-12.0232524871826,503.069885253906
-1676000,1725500,-12.6441583633423,503.179077148438
-1675500,1725500,-39.4729423522949,504.385406494141
-1675000,1725500,-81.6660690307617,504.041320800781
-1674500,1725500,-96.184684753418,502.775939941406
-1674000,1725500,15.0035791397095,504.485931396484
-1673500,1725500,128.497955322266,506.034454345703
-1673000,1725500,219.299087524414,506.601623535156
-1672500,1725500,238.343292236328,506.694702148438
-1672000,1725500,204.28125,505.79638671875
-1671500,1725500,131.652679443359,503.639343261719
-1671000,1725500,67.0078964233398,501.089141845703
-1670500,1725500,1.69458651542664,499.298583984375
-1670000,1725500,-53.8382415771484,498.722961425781
-1669500,1725500,-29.9346828460693,498.0244140625
-1669000,1725500,-40.1992416381836,497.371978759766
-1668500,1725500,-44.558464050293,499.337554931641
-1668000,1725500,-53.0660133361816,499.520721435547
-1667500,1725500,-54.4877815246582,499.177581787109
-1683500,1726000,15.2321147918701,494.482604980469
-1683000,1726000,21.6509304046631,495.830444335938
-1682500,1726000,26.8561382293701,496.670257568359
-1682000,1726000,22.1804542541504,497.725891113281
-1681500,1726000,13.6433324813843,497.444946289063
-1681000,1726000,9.4712495803833,496.024200439453
-1680500,1726000,19.806713104248,495.262969970703
-1680000,1726000,40.3692398071289,496.687347412109
-1679500,1726000,58.1890296936035,499.988372802734
-1679000,1726000,70.6396942138672,503.0390625
-1678500,1726000,68.1694869995117,505.084442138672
-1678000,1726000,45.4927177429199,505.744049072266
-1677500,1726000,23.3853492736816,505.142456054688
-1677000,1726000,17.2143936157227,503.928131103516
-1676500,1726000,30.4812717437744,502.911590576172
-1676000,1726000,57.9850196838379,502.386047363281
-1675500,1726000,51.7440986633301,502.2001953125
-1675000,1726000,8.89922523498535,501.12109375
-1674500,1726000,3.30699777603149,500.602416992188
-1674000,1726000,69.7160339355469,502.055419921875
-1673500,1726000,158.290252685547,504.437377929688
-1673000,1726000,259.383850097656,505.678955078125
-1672500,1726000,273.151794433594,506.117645263672
-1672000,1726000,168.905685424805,505.551452636719
-1671500,1726000,78.9104385375977,503.248748779297
-1671000,1726000,16.1570739746094,500.534637451172
-1670500,1726000,-35.8517837524414,498.596130371094
-1670000,1726000,-70.6203765869141,498.294769287109
