X,Y,grav,Elev
-1670500,1724500,1.93605637550354,509.390747070313
-1681000,1725000,-5.64796495437622,495.577941894531
-1680500,1725000,-5.63538455963135,498.077392578125
-1680000,1725000,-6.1775951385498,501.505340576172
-1679500,1725000,-7.07111215591431,504.915710449219
-1679000,1725000,-8.03217601776123,508.170288085938
-1678500,1725000,-8.62424373626709,510.315612792969
-1675000,1725000,0.451027750968933,509.294525146484
-1674500,1725000,1.68084347248077,510.294677734375
-1674000,1725000,2.91291069984436,512.019226074219
-1672500,1725000,4.74525308609009,512.666137695313
-1671500,1725000,3.22563052177429,510.85791015625
-1671000,1725000,2.00743818283081,509.621002197266
-1670500,1725000,0.985260128974915,508.618347167969
-1670000,1725000,0.720297157764435,508.370178222656
-1669500,1725000,0.920459389686584,507.566955566406
-1669000,1725000,1.26659560203552,507.459289550781
-1667000,1725000,-0.301313072443008,507.745941162109
-1666500,1725000,-0.62932813167572,506.998565673828
-1665500,1725000,0.209622398018837,506.946655273438
-1664500,1725000,1.36515820026398,507.705291748047
-1664000,1725000,1.46245050430298,507.669830322266
-1682000,1725500,-7.68587493896484,496.820556640625
-1681500,1725500,-6.25993204116821,495.757476806641
-1681000,1725500,-5.3326940536499,495.679260253906
-1680500,1725500,-5.15268468856812,496.839202880859
-1680000,1725500,-5.77721786499023,499.472137451172
-1679500,1725500,-6.86321783065796,503.382965087891
-1679000,1725500,-8.35101795196533,507.045867919922
-1678500,1725500,-9.53310489654541,509.613037109375
-1678000,1725500,-9.30277347564697,510.300598144531
-1677500,1725500,-8.02898025512695,509.8369140625
-1677000,1725500,-6.15805721282959,509.084991455078
-1675000,1725500,0.356834053993225,506.486541748047
-1674500,1725500,1.42041277885437,506.7529296875
-1674000,1725500,2.8270800113678,508.163024902344
-1673500,1725500,4.13353395462036,510.887481689453
-1673000,1725500,4.94119358062744,512.066650390625
-1672500,1725500,5.08131408691406,512.484497070313
-1672000,1725500,4.3381233215332,511.668640136719
-1671500,1725500,3.00442910194397,510.417602539063
-1671000,1725500,1.49533426761627,509.034423828125
-1670500,1725500,0.229563638567925,507.889099121094
-1670000,1725500,0.0290015339851379,507.644012451172
-1669500,1725500,0.45584300160408,507.594482421875
-1669000,1725500,1.06047666072845,507.767486572266
-1668500,1725500,1.33404862880707,508.585693359375
-1668000,1725500,0.882759034633636,509.570220947266
-1667500,1725500,-0.117669768631458,508.840606689453
-1667000,1725500,-1.1756649017334,507.718627929688
-1666500,1725500,-1.75798010826111,506.83056640625
-1666000,1725500,-1.40527880191803,506.499633789063
-1665500,1725500,-0.440205276012421,506.644409179688
-1665000,1725500,0.563372552394867,507.187438964844
-1664500,1725500,1.29329288005829,507.501678466797
-1664000,1725500,1.60567831993103,507.576843261719
-1683000,1726000,-8.19093894958496,498.038879394531
-1682500,1726000,-7.71514844894409,497.637603759766
-1682000,1726000,-7.13324069976807,496.933441162109
-1681500,1726000,-5.77810907363892,495.540679931641
-1681000,1726000,-4.47456121444702,494.518402099609
-1680500,1726000,-3.83896040916443,494.825378417969
-1680000,1726000,-4.58590316772461,497.77197265625
-1679500,1726000,-6.28193140029907,502.309631347656
-1679000,1726000,-8.25623035430908,506.510925292969
-1678500,1726000,-9.758056640625,509.402099609375
