X,Y,Topo
-1635000,1653000,-676.554260253906
-1634500,1653000,-685.195739746094
-1634000,1653000,-678.266052246094
-1633500,1653000,-676.725891113281
-1633000,1653000,-716.931945800781
-1632500,1653000,-741.018920898438
-1632000,1653000,-748.269836425781
-1631500,1653000,-717.631530761719
-1631000,1653000,-694.391174316406
-1630500,1653000,-698.887573242188
-1630000,1653000,-654.589477539063
-1629500,1653000,-626.560119628906
-1629000,1653000,-594.932861328125
-1628500,1653000,-620.869140625
-1628000,1653000,-702.942565917969
-1627500,1653000,-755.717895507813
-1627000,1653000,-770.531555175781
-1626500,1653000,-730.873291015625
-1626000,1653000,-715.270202636719
-1647000,1653500,-988.903381347656
-1646500,1653500,-920.305603027344
-1646000,1653500,-849.644470214844
-1645500,1653500,-761.033874511719
-1645000,1653500,-710.933532714844
-1644500,1653500,-674.196166992188
-1644000,1653500,-668.829711914063
-1643500,1653500,-679.706665039063
-1643000,1653500,-698.738220214844
-1642500,1653500,-722.320556640625
-1642000,1653500,-727.354553222656
-1641500,1653500,-685.267333984375
-1641000,1653500,-637.713806152344
-1640500,1653500,-637.714721679688
-1640000,1653500,-657.275390625
-1639500,1653500,-673.877624511719
-1639000,1653500,-699.143432617188
-1638500,1653500,-731.467712402344
-1638000,1653500,-761.699035644531
-1637500,1653500,-786.746643066406
-1637000,1653500,-784.580444335938
-1636500,1653500,-761.978454589844
-1636000,1653500,-751.025085449219
-1635500,1653500,-726.534118652344
-1635000,1653500,-702.482116699219
-1634500,1653500,-682.407470703125
-1634000,1653500,-653.7314453125
-1633500,1653500,-666.0654296875
-1633000,1653500,-712.692687988281
-1632500,1653500,-726.515502929688
-1632000,1653500,-687.977844238281
-1631500,1653500,-660.905090332031
-1631000,1653500,-659.651672363281
-1630500,1653500,-659.84423828125
-1630000,1653500,-681.625671386719
-1629500,1653500,-679.158081054688
-1629000,1653500,-651.515380859375
-1628500,1653500,-660.165466308594
-1628000,1653500,-702.449096679688
-1627500,1653500,-719.074951171875
-1627000,1653500,-703.552429199219
-1626500,1653500,-696.899963378906
-1626000,1653500,-692.341857910156
-1625500,1653500,-678.288024902344
-1648000,1654000,-1031.98596191406
-1647500,1654000,-1015.83233642578
-1647000,1654000,-985.505065917969
-1646500,1654000,-937.957153320313
-1646000,1654000,-878.417541503906
-1645500,1654000,-818.773681640625
-1645000,1654000,-767.533996582031
-1644500,1654000,-734.620056152344
-1644000,1654000,-714.108703613281
-1643500,1654000,-718.427429199219
-1643000,1654000,-717.759704589844
-1642500,1654000,-712.976623535156
-1642000,1654000,-713.475158691406
-1641500,1654000,-683.889099121094
-1641000,1654000,-633.589538574219
-1640500,1654000,-609.497192382813
-1640000,1654000,-619.877197265625
-1639500,1654000,-624.931091308594
-1639000,1654000,-612.335388183594
-1638500,1654000,-628.147888183594
-1638000,1654000,-715.24560546875
-1637500,1654000,-776.851989746094
-1637000,1654000,-802.679809570313
-1636500,1654000,-810.153381347656
-1636000,1654000,-803.299560546875
-1635500,1654000,-784.605346679688
-1635000,1654000,-752.009216308594
-1634500,1654000,-697.281921386719
-1634000,1654000,-664.209045410156
-1633500,1654000,-637.34326171875
-1633000,1654000,-647.97509765625
-1632500,1654000,-642.822387695313
-1632000,1654000,-641.589172363281
-1631500,1654000,-641.305419921875
-1631000,1654000,-637.059387207031
-1630500,1654000,-631.773986816406
-1630000,1654000,-627.48974609375
-1629500,1654000,-629.68896484375
-1629000,1654000,-637.436889648438
-1628500,1654000,-658.308898925781
-1628000,1654000,-637.875671386719
-1627500,1654000,-651.945495605469
-1627000,1654000,-657.445068359375
-1626500,1654000,-658.91650390625
-1626000,1654000,-654.947937011719
-1625500,1654000,-640.692810058594
-1649000,1654500,-1044.59057617188
-1648500,1654500,-1019.80065917969
-1648000,1654500,-1008.85321044922
-1647500,1654500,-997.6787109375
-1647000,1654500,-972.528198242188
-1646500,1654500,-935.862243652344
-1646000,1654500,-878.305053710938
-1645500,1654500,-818.496215820313
-1645000,1654500,-809.168151855469
-1644500,1654500,-805.328552246094
-1644000,1654500,-781.365051269531
-1643500,1654500,-765.332763671875
-1643000,1654500,-747.708435058594
-1642500,1654500,-722.857666015625
-1642000,1654500,-703.123901367188
-1641500,1654500,-669.167907714844
-1641000,1654500,-613.452697753906
-1640500,1654500,-579.6337890625
-1640000,1654500,-571.839599609375
-1639500,1654500,-565.220764160156
-1639000,1654500,-556.095520019531
-1638500,1654500,-587.011901855469
-1638000,1654500,-658.546508789063
-1637500,1654500,-744.797058105469
-1637000,1654500,-780.35302734375
-1636500,1654500,-803.623901367188
-1636000,1654500,-818.198059082031
-1635500,1654500,-784.417358398438
-1635000,1654500,-730.089782714844
-1634500,1654500,-681.056884765625
-1634000,1654500,-649.994506835938
-1633500,1654500,-617.126403808594
-1633000,1654500,-608.381469726563
-1632500,1654500,-606.558471679688
-1632000,1654500,-606.787353515625
-1631500,1654500,-610.974853515625
-1631000,1654500,-610.548217773438
-1630500,1654500,-608.619567871094
-1630000,1654500,-600.178771972656
-1629500,1654500,-590.860778808594
-1629000,1654500,-587.758422851563
-1628500,1654500,-599.043823242188
-1628000,1654500,-592.627197265625
-1627500,1654500,-598.000610351563
-1627000,1654500,-606.426635742188
-1626500,1654500,-611.067626953125
-1626000,1654500,-607.189880371094
-1625500,1654500,-593.744567871094
-1650000,1655000,-1123.82824707031
-1649500,1655000,-1050.87170410156
-1649000,1655000,-1007.32061767578
-1648500,1655000,-1005.55444335938
-1648000,1655000,-1000.84130859375
-1647500,1655000,-988.117492675781
-1647000,1655000,-981.766967773438
-1646500,1655000,-974.612487792969
-1646000,1655000,-946.299011230469
-1645500,1655000,-906.921875
-1645000,1655000,-886.649108886719
-1644500,1655000,-868.873657226563
-1644000,1655000,-837.099731445313
-1643500,1655000,-807.896179199219
-1643000,1655000,-790.717712402344
-1642500,1655000,-755.813110351563
-1642000,1655000,-711.063110351563
-1641500,1655000,-648.275329589844
-1641000,1655000,-589.914001464844
-1640500,1655000,-560.287353515625
-1640000,1655000,-550.780578613281
-1639500,1655000,-529.113342285156
-1639000,1655000,-513.936645507813
-1638500,1655000,-520.626831054688
-1638000,1655000,-558.356323242188
-1637500,1655000,-608.816833496094
-1637000,1655000,-669.716979980469
-1636500,1655000,-722.898498535156
-1636000,1655000,-753.722229003906
-1635500,1655000,-726.244506835938
-1635000,1655000,-674.815795898438
-1634500,1655000,-628.584045410156
-1634000,1655000,-598.071166992188
-1633500,1655000,-586.198974609375
-1633000,1655000,-573.998901367188
-1632500,1655000,-568.143371582031
-1632000,1655000,-566.271789550781
-1631500,1655000,-567.0673828125
-1631000,1655000,-568.337219238281
-1630500,1655000,-565.704467773438
-1630000,1655000,-559.848449707031
-1629500,1655000,-549.41845703125
-1629000,1655000,-538.508361816406
-1628500,1655000,-533.218933105469
-1628000,1655000,-535.072814941406
-1627500,1655000,-541.833068847656
-1627000,1655000,-548.812194824219
-1626500,1655000,-554.886596679688
-1626000,1655000,-554.439819335938
-1625500,1655000,-542.137939453125
-1625000,1655000,-523.2724609375
-1651000,1655500,-1184.02185058594
-1650500,1655500,-1132.63293457031
-1650000,1655500,-1076.80078125
-1649500,1655500,-1042.25158691406
-1649000,1655500,-1014.67486572266
-1648500,1655500,-1031.31665039063
-1648000,1655500,-1037.91625976563
-1647500,1655500,-1022.45007324219
-1647000,1655500,-1033.83679199219
-1646500,1655500,-1052.75634765625
-1646000,1655500,-1022.04779052734
-1645500,1655500,-991.107666015625
-1645000,1655500,-956.939453125
-1644500,1655500,-926.23046875
-1644000,1655500,-875.951904296875
-1643500,1655500,-835.78466796875
-1643000,1655500,-826.734436035156
-1642500,1655500,-777.985534667969
-1642000,1655500,-719.606811523438
-1641500,1655500,-637.310974121094
-1641000,1655500,-571.940063476563
-1640500,1655500,-551.848693847656
-1640000,1655500,-534.180358886719
-1639500,1655500,-501.292114257813
-1639000,1655500,-478.536254882813
-1638500,1655500,-464.482666015625
-1638000,1655500,-481.536468505859
-1637500,1655500,-543.114379882813
-1637000,1655500,-601.298461914063
-1636500,1655500,-634.93359375
-1636000,1655500,-647.398803710938
-1635500,1655500,-636.079040527344
-1635000,1655500,-598.135620117188
-1634500,1655500,-573.654052734375
-1634000,1655500,-559.923522949219
-1633500,1655500,-549.597778320313
-1633000,1655500,-539.58837890625
-1632500,1655500,-532.8720703125
-1632000,1655500,-530.139831542969
-1631500,1655500,-527.715026855469
-1631000,1655500,-525.048034667969
-1630500,1655500,-521.234558105469
-1630000,1655500,-513.601318359375
-1629500,1655500,-504.353515625
-1629000,1655500,-491.366088867188
-1628500,1655500,-485.308715820313
-1628000,1655500,-484.751892089844
-1627500,1655500,-487.890899658203
-1627000,1655500,-493.9609375
-1626500,1655500,-498.82958984375
-1626000,1655500,-502.648162841797
-1625500,1655500,-496.493896484375
-1625000,1655500,-480.663269042969
-1652000,1656000,-1220.74072265625
-1651500,1656000,-1144.58374023438
-1651000,1656000,-1109.95141601563
-1650500,1656000,-1093.3564453125
-1650000,1656000,-1071.92858886719
-1649500,1656000,-1073.05944824219
-1649000,1656000,-1074.77709960938
-1648500,1656000,-1068.81408691406
-1648000,1656000,-1069.78796386719
-1647500,1656000,-1047.3193359375
-1647000,1656000,-1055.33178710938
-1646500,1656000,-1081.43530273438
-1646000,1656000,-1006.18170166016
-1645500,1656000,-961.951782226563
-1645000,1656000,-923.529174804688
-1644500,1656000,-876.041564941406
-1644000,1656000,-801.7802734375
-1643500,1656000,-754.037109375
-1643000,1656000,-748.905029296875
-1642500,1656000,-742.097229003906
-1642000,1656000,-694.369384765625
-1641500,1656000,-619.393615722656
-1641000,1656000,-567.774658203125
-1640500,1656000,-537.959533691406
-1640000,1656000,-508.751525878906
-1639500,1656000,-479.584045410156
-1639000,1656000,-456.107482910156
-1638500,1656000,-431.237487792969
-1638000,1656000,-431.321594238281
-1637500,1656000,-480.829864501953
-1637000,1656000,-547.237121582031
-1636500,1656000,-572.581848144531
-1636000,1656000,-573.883850097656
-1635500,1656000,-557.509155273438
-1635000,1656000,-546.593872070313
-1634500,1656000,-539.696960449219
-1634000,1656000,-531.033325195313
-1633500,1656000,-518.025451660156
-1633000,1656000,-508.605926513672
-1632500,1656000,-502.910614013672
-1632000,1656000,-500.691833496094
-1631500,1656000,-498.570098876953
-1631000,1656000,-492.433898925781
-1630500,1656000,-486.639526367188
-1630000,1656000,-477.876586914063
-1629500,1656000,-468.755218505859
-1629000,1656000,-459.813079833984
-1628500,1656000,-452.98583984375
-1628000,1656000,-448.665100097656
-1627500,1656000,-446.464721679688
-1627000,1656000,-449.441070556641
-1626500,1656000,-454.547607421875
-1626000,1656000,-458.953430175781
-1625500,1656000,-456.277465820313
-1625000,1656000,-442.294006347656
-1624500,1656000,-425.730255126953
-1653000,1656500,-1220.43090820313
-1652500,1656500,-1192.57080078125
-1652000,1656500,-1154.43273925781
-1651500,1656500,-1124.87573242188
-1651000,1656500,-1096.27661132813
-1650500,1656500,-1083.02966308594
-1650000,1656500,-1086.15771484375
-1649500,1656500,-1082.90002441406
-1649000,1656500,-1073.88098144531
-1648500,1656500,-1050.67736816406
-1648000,1656500,-990.115783691406
-1647500,1656500,-940.6513671875
-1647000,1656500,-908.240783691406
-1646500,1656500,-880.94677734375
-1646000,1656500,-842.304321289063
-1645500,1656500,-789.94287109375
-1645000,1656500,-777.524047851563
-1644500,1656500,-754.028442382813
-1644000,1656500,-662.008666992188
-1643500,1656500,-636.872741699219
-1643000,1656500,-644.209350585938
-1642500,1656500,-664.679443359375
-1642000,1656500,-649.185119628906
-1641500,1656500,-605.974426269531
-1641000,1656500,-559.497985839844
-1640500,1656500,-517.631774902344
-1640000,1656500,-502.626953125
-1639500,1656500,-489.699981689453
-1639000,1656500,-450.787322998047
-1638500,1656500,-402.078186035156
-1638000,1656500,-387.853881835938
-1637500,1656500,-412.947692871094
-1637000,1656500,-463.924163818359
-1636500,1656500,-491.267974853516
-1636000,1656500,-494.547454833984
-1635500,1656500,-503.167327880859
-1635000,1656500,-506.524047851563
-1634500,1656500,-501.858673095703
-1634000,1656500,-498.199340820313
-1633500,1656500,-489.47021484375
-1633000,1656500,-482.115600585938
-1632500,1656500,-477.985809326172
-1632000,1656500,-476.215484619141
-1631500,1656500,-472.334167480469
-1631000,1656500,-465.751281738281
-1630500,1656500,-460.036041259766
-1630000,1656500,-452.253204345703
-1629500,1656500,-444.476013183594
-1629000,1656500,-436.906463623047
-1628500,1656500,-428.947723388672
-1628000,1656500,-423.448059082031
-1627500,1656500,-418.200500488281
-1627000,1656500,-417.09228515625
-1626500,1656500,-419.055694580078
-1626000,1656500,-420.498748779297
-1625500,1656500,-417.984100341797
-1625000,1656500,-407.695861816406
-1624500,1656500,-392.092651367188
-1654500,1657000,-1329.12084960938
-1654000,1657000,-1278.2099609375
-1653500,1657000,-1226.04223632813
-1653000,1657000,-1184.40808105469
-1652500,1657000,-1154.73937988281
-1652000,1657000,-1123.02880859375
-1651500,1657000,-1101.86059570313
-1651000,1657000,-1051.47534179688
-1650500,1657000,-1027.09216308594
-1650000,1657000,-1015.91094970703
-1649500,1657000,-996.567626953125
-1649000,1657000,-975.480773925781
-1648500,1657000,-941.714721679688
-1648000,1657000,-870.302856445313
-1647500,1657000,-757.03564453125
-1647000,1657000,-708.955688476563
-1646500,1657000,-659.407653808594
-1646000,1657000,-642.786437988281
-1645500,1657000,-623.668395996094
-1645000,1657000,-606.473388671875
-1644500,1657000,-617.173461914063
-1644000,1657000,-585.186218261719
-1643500,1657000,-564.983459472656
-1643000,1657000,-592.413452148438
-1642500,1657000,-623.111206054688
-1642000,1657000,-611.630126953125
-1641500,1657000,-577.132202148438
-1641000,1657000,-539.448303222656
-1640500,1657000,-515.924255371094
-1640000,1657000,-507.083740234375
-1639500,1657000,-495.419403076172
-1639000,1657000,-454.860382080078
-1638500,1657000,-400.129608154297
-1638000,1657000,-354.099304199219
-1637500,1657000,-339.904296875
-1637000,1657000,-366.489227294922
-1636500,1657000,-403.492126464844
-1636000,1657000,-435.268829345703
-1635500,1657000,-451.989959716797
-1635000,1657000,-462.907989501953
-1634500,1657000,-465.083465576172
-1634000,1657000,-467.124969482422
-1633500,1657000,-464.318908691406
-1633000,1657000,-459.908325195313
-1632500,1657000,-456.365081787109
-1632000,1657000,-453.237274169922
-1631500,1657000,-448.771728515625
-1631000,1657000,-443.561828613281
-1630500,1657000,-439.7451171875
-1630000,1657000,-434.758544921875
-1629500,1657000,-428.991302490234
-1629000,1657000,-422.310760498047
-1628500,1657000,-413.822479248047
-1628000,1657000,-406.708801269531
-1627500,1657000,-399.503265380859
-1627000,1657000,-393.007446289063
-1626500,1657000,-388.995361328125
-1626000,1657000,-387.281890869141
-1625500,1657000,-385.408874511719
-1625000,1657000,-377.439697265625
-1624500,1657000,-363.1396484375
-1624000,1657000,-350.280426025391
-1655500,1657500,-1377.33215332031
-1655000,1657500,-1324.91162109375
-1654500,1657500,-1273.59033203125
-1654000,1657500,-1249.80395507813
-1653500,1657500,-1191.3046875
-1653000,1657500,-1146.29345703125
-1652500,1657500,-1109.90930175781
-1652000,1657500,-1079.79418945313
-1651500,1657500,-1033.90124511719
-1651000,1657500,-959.632141113281
-1650500,1657500,-920.642211914063
-1650000,1657500,-901.199645996094
-1649500,1657500,-857.380981445313
-1649000,1657500,-806.678955078125
-1648500,1657500,-762.217468261719
-1648000,1657500,-762.908569335938
-1647500,1657500,-680.354125976563
-1647000,1657500,-629.732604980469
-1646500,1657500,-599.367614746094
-1646000,1657500,-563.976501464844
-1645500,1657500,-547.317077636719
-1645000,1657500,-545.456298828125
-1644500,1657500,-536.497619628906
-1644000,1657500,-511.711547851563
-1643500,1657500,-505.679779052734
-1643000,1657500,-552.935913085938
-1642500,1657500,-584.444274902344
-1642000,1657500,-579.114990234375
-1641500,1657500,-546.56396484375
-1641000,1657500,-508.489471435547
-1640500,1657500,-485.113098144531
-1640000,1657500,-482.541076660156
-1639500,1657500,-479.318817138672
-1639000,1657500,-460.924774169922
-1638500,1657500,-393.617095947266
-1638000,1657500,-310.038055419922
-1637500,1657500,-282.868255615234
-1637000,1657500,-300.769439697266
-1636500,1657500,-342.814697265625
-1636000,1657500,-392.954925537109
-1635500,1657500,-416.387756347656
-1635000,1657500,-430.6748046875
-1634500,1657500,-438.629699707031
-1634000,1657500,-443.813293457031
-1633500,1657500,-444.296417236328
-1633000,1657500,-440.602783203125
-1632500,1657500,-436.644226074219
-1632000,1657500,-432.855316162109
-1631500,1657500,-429.132598876953
-1631000,1657500,-426.063812255859
-1630500,1657500,-423.639465332031
-1630000,1657500,-421.058532714844
-1629500,1657500,-417.413146972656
-1629000,1657500,-411.073791503906
-1628500,1657500,-402.671264648438
-1628000,1657500,-393.866058349609
-1627500,1657500,-384.311309814453
-1627000,1657500,-373.929443359375
-1626500,1657500,-365.231658935547
-1626000,1657500,-360.286041259766
-1625500,1657500,-357.192810058594
-1625000,1657500,-350.621368408203
-1624500,1657500,-340.566650390625
-1624000,1657500,-329.399322509766
-1656500,1658000,-1387.27368164063
-1656000,1658000,-1333.89709472656
-1655500,1658000,-1289.17333984375
